dataset_id,model,mitigation,overall_physionet_utility,female_physionet_utility,male_physionet_utility,missed_rate_gap,alarm_fatigue_rate_gap,disparate_impact,equal_opportunity,equalized_odds,female_median_detection_lead_hours,male_median_detection_lead_hours,female_pct_detected_before_onset,male_pct_detected_before_onset,female_n,female_n_septic,female_prevalence,female_tpr,female_fpr,female_precision,female_f1,female_auroc,female_avg_precision,female_brier,female_ece,female_clinical_utility,female_mean_detection_lead_hours,female_pct_detected_at_all,female_pct_missed,female_alarm_fatigue_rate,male_n,male_n_septic,male_prevalence,male_tpr,male_fpr,male_precision,male_f1,male_auroc,male_avg_precision,male_brier,male_ece,male_clinical_utility,male_mean_detection_lead_hours,male_pct_detected_at_all,male_pct_missed,male_alarm_fatigue_rate,overall_n,overall_n_septic,overall_prevalence,overall_tpr,overall_fpr,overall_precision,overall_f1,overall_auroc,overall_avg_precision,overall_brier,overall_ece,overall_clinical_utility,overall_median_detection_lead_hours,overall_mean_detection_lead_hours,overall_pct_detected_before_onset,overall_pct_detected_at_all,overall_pct_missed,overall_alarm_fatigue_rate,tpr_gap,fpr_gap,auroc_gap,precision_gap,f1_gap,brier_gap,ece_gap,clinical_utility_gap,physionet_utility_gap,median_detection_lead_hours_gap,mean_detection_lead_hours_gap,pct_detected_before_onset_gap,pct_missed_gap,ppv_gap,demographic_parity_diff,equal_opportunity_diff,equalized_odds_diff,sufficiency_diff,equal_opportunity_abs,fl_demographic_parity_diff,fl_equalized_odds_diff,fl_equal_opportunity_diff,early_detection_parity,alarm_fatigue_gap,worst_group_auroc,auroc_drop_from_overall,illusion_of_fairness,utility_threshold,train_utility_at_threshold,n_train_rows,n_test_rows,n_train_patients,n_test_patients,train_prevalence,test_prevalence
D0,liu_glm,none,0.4282,0.4523,0.0,,0.0828,2.666,0.5517,0.5517,-7.0,,0.0,,352,2,0.0824,0.5517,0.1517,0.2462,0.3404,0.6819,0.2673,0.1552,0.2674,-0.0354,-7.0,100.0,0.0,0.1521,231,0,0.0,0.0,0.0693,0.0,0.0,,,0.117,0.3122,-0.0035,,,,0.0693,583,2,0.0497,0.5517,0.1173,0.1975,0.2909,0.7014,0.2316,0.14,0.2852,-0.0227,-7.0,-7.0,0.0,100.0,0.0,0.1167,0.5517,0.0824,,0.2462,0.3404,0.0381,-0.0448,-0.0319,0.4523,,,,,0.2462,0.1154,0.5517,0.5517,0.2462,0.5517,0.1154,0.5517,0.5517,,0.0828,0.6819,0.0195,0,0.5,0.6365,2483,583,68,18,0.0451,0.0497
D0,liu_xgboost,none,-0.0075,-0.0075,0.0,,0.0097,,0.0,0.0155,-16.0,,0.0,,352,2,0.0824,0.0,0.0155,0.0,0.0,0.6799,0.116,0.0837,0.0831,-0.1655,-16.0,50.0,50.0,0.0097,231,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0026,0.0,,,,0.0,583,2,0.0497,0.0,0.009,0.0,0.0,0.7233,0.0822,0.0506,0.0492,-0.0999,-16.0,-16.0,0.0,50.0,50.0,0.0056,0.0,0.0155,,0.0,0.0,0.0837,0.0805,-0.1655,-0.0075,,,,,0.0,0.0142,0.0,0.0155,0.0,0.0,0.0142,0.0155,0.0,,0.0097,0.6799,0.0434,0,0.15,1.0,2483,583,68,18,0.0451,0.0497
D0,liu_rnn,none,0.3351,0.3922,0.0,,-0.1127,0.5008,0.3448,0.3448,-7.5,,0.0,,352,2,0.0824,0.3448,0.0588,0.3448,0.3448,0.738,0.2898,0.0749,0.0645,-0.0822,-7.5,100.0,0.0,0.0518,231,0,0.0,0.0,0.1645,0.0,0.0,,,0.0897,0.208,-0.0082,,,,0.1645,583,2,0.0497,0.3448,0.1029,0.1493,0.2083,0.7015,0.1161,0.0807,0.1212,-0.0529,-7.5,-7.5,0.0,100.0,0.0,0.1,0.3448,-0.1057,,0.3448,0.3448,-0.0149,-0.1435,-0.074,0.3922,,,,,0.3448,-0.0821,0.3448,0.3448,0.3448,0.3448,0.0821,0.3448,0.3448,,-0.1127,0.738,-0.0365,0,0.4,0.8955,2483,583,68,18,0.0451,0.0497
D1A,liu_glm,none,0.0935,0.0,0.1581,,0.3808,37.8846,-0.2,0.382,,-2.0,,0.0,52,0,0.0,0.0,0.3846,0.0,0.0,,,0.2529,0.4531,-0.0192,,,,0.3846,394,1,0.0381,0.2,0.0026,0.75,0.3158,0.6848,0.2769,0.0535,0.1406,-0.0534,-2.0,100.0,0.0,0.0038,446,1,0.0336,0.2,0.0487,0.125,0.1538,0.6432,0.0883,0.0768,0.1724,-0.0494,-2.0,-2.0,0.0,100.0,0.0,0.0669,-0.2,0.382,,-0.75,-0.3158,0.1994,0.3124,0.0342,-0.1581,,,,,-0.75,0.3745,0.2,0.382,0.75,0.2,0.3745,0.382,0.2,,0.3808,,,0,0.55,0.8769,1609,446,43,11,0.0242,0.0336
D1A,liu_xgboost,none,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,52,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0022,0.0,,,,0.0,394,1,0.0381,0.0,0.0,0.0,0.0,0.828,0.1749,0.0377,0.0365,-0.0761,,0.0,100.0,0.0,446,1,0.0336,0.0,0.0,0.0,0.0,0.8145,0.1563,0.0333,0.032,-0.0673,,,,0.0,100.0,0.0,0.0,0.0,,0.0,0.0,-0.0377,-0.0343,0.0761,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0,0.2,1.0,1609,446,43,11,0.0242,0.0336
D1A,liu_rnn,none,0.071,0.0,0.129,,0.308,10.4911,-0.2,0.3198,,-2.0,,0.0,52,0,0.0,0.0,0.3462,0.0,0.0,,,0.1353,0.3332,-0.0173,,,,0.3462,394,1,0.0381,0.2,0.0264,0.2308,0.2143,0.3541,0.0981,0.0542,0.0932,-0.0546,-2.0,100.0,0.0,0.0382,446,1,0.0336,0.2,0.065,0.0968,0.1304,0.3338,0.0491,0.0636,0.1211,-0.0502,-2.0,-2.0,0.0,100.0,0.0,0.0892,-0.2,0.3198,,-0.2308,-0.2143,0.0811,0.2401,0.0373,-0.129,,,,,-0.2308,0.3132,0.2,0.3198,0.2308,0.2,0.3132,0.3198,0.2,,0.308,,,0,0.4,0.945,1609,446,43,11,0.0242,0.0336
D1B,liu_glm,none,0.2304,0.2364,0.0,,0.1636,3.5744,0.2414,0.2414,-19.0,,0.0,,215,2,0.1349,0.2414,0.2473,0.1321,0.1707,0.4835,0.2377,0.1836,0.234,-0.1828,-19.0,50.0,50.0,0.2326,58,0,0.0,0.0,0.069,0.0,0.0,,,0.1024,0.3075,-0.0034,,,,0.069,273,2,0.1062,0.2414,0.2049,0.1228,0.1628,0.4904,0.2185,0.1664,0.2416,-0.1447,-19.0,-19.0,0.0,50.0,50.0,0.1913,0.2414,0.1783,,0.1321,0.1707,0.0813,-0.0734,-0.1793,0.2364,,,,,0.1321,0.1775,0.2414,0.2414,0.1321,0.2414,0.1775,0.2414,0.2414,,0.1636,0.4835,0.0069,0,0.45,0.7765,1591,273,43,11,0.0591,0.1062
D1B,liu_xgboost,none,-0.024,-0.024,0.0,,0.0698,,0.0,0.086,-16.0,,0.0,,215,2,0.1349,0.0,0.086,0.0,0.0,0.4427,0.1154,0.152,0.1634,-0.2735,-16.0,50.0,50.0,0.0698,58,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0006,0.0,,,,0.0,273,2,0.1062,0.0,0.0656,0.0,0.0,0.5366,0.1076,0.1197,0.1286,-0.2154,-16.0,-16.0,0.0,50.0,50.0,0.0522,0.0,0.086,,0.0,0.0,0.152,0.1628,-0.2735,-0.024,,,,,0.0,0.0744,0.0,0.086,0.0,0.0,0.0744,0.086,0.0,,0.0698,0.4427,0.0939,0,0.15,1.0,1591,273,43,11,0.0591,0.1062
D1B,liu_rnn,none,0.1563,0.1563,0.0,,0.1744,,0.1379,0.1935,-17.0,,0.0,,215,2,0.1349,0.1379,0.1935,0.1,0.1159,0.538,0.187,0.2027,0.207,-0.2223,-17.0,50.0,50.0,0.1744,58,0,0.0,0.0,0.0,0.0,0.0,,,0.0186,0.1169,0.0,,,,0.0,273,2,0.1062,0.1379,0.1475,0.1,0.1159,0.5798,0.1758,0.1636,0.1737,-0.1751,-17.0,-17.0,0.0,50.0,50.0,0.1304,0.1379,0.1935,,0.1,0.1159,0.1841,0.0902,-0.2223,0.1563,,,,,0.1,0.186,0.1379,0.1935,0.1,0.1379,0.186,0.1935,0.1379,,0.1744,0.538,0.0418,0,0.55,0.9208,1591,273,43,11,0.0591,0.1062
D2A,liu_glm,none,0.4282,0.4523,0.0,,0.0828,2.666,0.5517,0.5517,-7.0,,0.0,,352,2,0.0824,0.5517,0.1517,0.2462,0.3404,0.6819,0.2673,0.1552,0.2674,-0.0354,-7.0,100.0,0.0,0.1521,231,0,0.0,0.0,0.0693,0.0,0.0,,,0.117,0.3122,-0.0035,,,,0.0693,583,2,0.0497,0.5517,0.1173,0.1975,0.2909,0.7014,0.2316,0.14,0.2852,-0.0227,-7.0,-7.0,0.0,100.0,0.0,0.1167,0.5517,0.0824,,0.2462,0.3404,0.0381,-0.0448,-0.0319,0.4523,,,,,0.2462,0.1154,0.5517,0.5517,0.2462,0.5517,0.1154,0.5517,0.5517,,0.0828,0.6819,0.0195,0,0.5,0.6365,2483,583,68,18,0.0451,0.0497
