model,mitigation,D0,D1A,D1B,D2A,D2B,D3A,D3B
gradient_boosting,fairness_penalty,0.0231,0.1867,0.1152,0.0723,0.0054,0.0079,0.0528
gradient_boosting,none,0.0986,0.1022,0.0086,0.0955,0.1062,0.0999,0.0999
gradient_boosting,reweighting,0.0426,0.1541,0.0037,0.0249,0.0357,0.0432,0.0357
gradient_boosting,robust_model,0.023,0.1244,0.0723,0.0186,0.0099,0.0204,0.0173
gradient_boosting,smote,0.1043,0.1022,0.0034,0.1119,0.1119,0.1106,0.0999
logistic_regression,fairness_penalty,0.0231,0.1867,0.1152,0.0723,0.0054,0.0079,0.0528
logistic_regression,none,0.1266,0.0104,0.0527,0.0994,0.1114,0.0918,0.0963
logistic_regression,reweighting,0.1057,0.1644,0.0251,0.0773,0.0937,0.083,0.083
logistic_regression,robust_model,0.023,0.1244,0.0723,0.0186,0.0099,0.0204,0.0173
logistic_regression,smote,0.1329,0.0622,0.0319,0.0981,0.1114,0.1038,0.1007
random_forest,fairness_penalty,0.0231,0.1867,0.1152,0.0723,0.0054,0.0079,0.0528
random_forest,none,0.0405,0.0459,0.0895,0.0241,0.0436,0.0538,0.0044
random_forest,reweighting,0.0133,0.1191,0.0765,0.0091,0.0325,0.0333,0.0181
random_forest,robust_model,0.023,0.1244,0.0723,0.0186,0.0099,0.0204,0.0173
random_forest,smote,0.0929,0.1244,0.1213,0.0746,0.0632,0.0841,0.0645
